Time (s),1. Target Id A (0.0625),,Time (s),1. Id A (0.0625),,Time (s),1. Max velocity - left motor RPM (1),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Maximum fluxing current A (1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),1. Voltage limit circle magnitude A (1),,Time (s),1. Measured inductance uH (5.96046447753906E-02),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),1. Voltage modulation % (0.390625),,Time (s),1. Capacitor Voltage V (0.0625),,Time (s),1. Maximum iq allowed A (1),,Time (s),1. Motor Temperature 1 (Measured - T1) DegC (1),,Time (s),1. Target Iq A (0.0625),,Time (s),1. Ud V (0.0625),,Time (s),1. Iq A (0.0625),,
2.9584,0.0,,2.9584,-0.375,,2.9589000000000003,0,,2.9587000000000003,0.0,,2.9586000000000006,507,,2.9589000000000003,0,,2.9587000000000003,0.0,,2.9586000000000006,32212,,2.9586000000000006,32.961368560791,,2.9587000000000003,0.0,,2.9585,0.0,,2.9585,0.0,,2.9585,44.1875,,2.9586000000000006,449,,2.9587000000000003,51,,2.9584,0.0,,2.9585,0.0,,2.9584,0.6875,,
2.9796000000000005,0.0,,2.9796000000000005,-0.3125,,2.9803,0,,2.9801,0.0,,2.98,507,,2.9803,0,,2.9801,0.0,,2.98,32212,,2.98,32.961368560791,,2.9801,0.0,,2.9799,0.0,,2.9799,0.0,,2.9799,44.1875,,2.98,449,,2.9801,51,,2.9796000000000005,0.0,,2.9799,0.0,,2.9796000000000005,-0.875,,
3.0,0.0,,3.0,-0.8125,,3.0005,0,,3.0004,0.0,,3.0003,507,,3.0005,0,,3.0004,0.0,,3.0003,32212,,3.0003,32.961368560791,,3.0004,0.0,,3.0002000000000004,0.0,,3.0002000000000004,0.0,,3.0002000000000004,44.1875,,3.0003,449,,3.0004,51,,3.0,0.0,,3.0002000000000004,0.0,,3.0,1.125,,
3.0183,0.0,,3.0183,-0.875,,3.0189,0,,3.0188,0.0,,3.0187000000000004,507,,3.0189,0,,3.0188,0.0,,3.0187000000000004,32212,,3.0187000000000004,32.961368560791,,3.0188,0.0,,3.0185,0.0,,3.0185,0.0,,3.0185,44.1875,,3.0187000000000004,449,,3.0188,51,,3.0183,0.0,,3.0185,0.0,,3.0183,3.3125,,
3.04,0.0,,3.04,0.0,,3.0405,0,,3.0404,0.0,,3.0403000000000002,507,,3.0405,0,,3.0404,0.0,,3.0403000000000002,32212,,3.0403000000000002,32.961368560791,,3.0404,0.0,,3.0402000000000005,0.0,,3.0402000000000005,0.0,,3.0402000000000005,44.1875,,3.0403000000000002,449,,3.0404,51,,3.04,0.0,,3.0402000000000005,0.0,,3.04,0.25,,
3.0598,0.0,,3.0598,-0.5625,,3.0603000000000002,0,,3.0602000000000005,0.0,,3.0601000000000003,507,,3.0603000000000002,0,,3.0602000000000005,0.0,,3.0601000000000003,32212,,3.0601000000000003,32.961368560791,,3.0602000000000005,0.0,,3.0599000000000003,0.0,,3.0599000000000003,0.0,,3.0599000000000003,44.1875,,3.0601000000000003,449,,3.0602000000000005,51,,3.0598,0.0,,3.0599000000000003,0.0,,3.0598,0.125,,
3.0784000000000002,0.0,,3.0784000000000002,-0.4375,,3.0789,0,,3.0788,0.0,,3.0787000000000004,507,,3.0789,0,,3.0788,0.0,,3.0787000000000004,32212,,3.0787000000000004,32.961368560791,,3.0788,0.0,,3.0786000000000002,0.0,,3.0786000000000002,0.0,,3.0786000000000002,44.1875,,3.0787000000000004,449,,3.0788,51,,3.0784000000000002,0.0,,3.0786000000000002,0.0,,3.0784000000000002,2.3125,,
3.1,0.0,,3.1,-0.9375,,3.1005,0,,3.1004,0.0,,3.1003000000000003,507,,3.1005,0,,3.1004,0.0,,3.1003000000000003,32212,,3.1003000000000003,32.961368560791,,3.1004,0.0,,3.1001000000000003,0.0,,3.1001000000000003,0.0,,3.1001000000000003,44.1875,,3.1003000000000003,449,,3.1004,51,,3.1,0.0,,3.1001000000000003,0.0,,3.1,2.6875,,
3.1198,0.0,,3.1198,-0.375,,3.1203000000000003,0,,3.1202,0.0,,3.12,507,,3.1203000000000003,0,,3.1202,0.0,,3.12,32212,,3.12,32.961368560791,,3.1202,0.0,,3.1199,0.0,,3.1199,0.0,,3.1199,44.125,,3.12,449,,3.1202,51,,3.1198,0.0,,3.1199,0.0,,3.1198,2.875,,
3.14,0.0,,3.14,-0.625,,3.1405,0,,3.1404,0.0,,3.1403000000000003,507,,3.1405,0,,3.1404,0.0,,3.1403000000000003,32212,,3.1403000000000003,32.961368560791,,3.1404,0.0,,3.1401000000000003,0.0,,3.1401000000000003,0.0,,3.1401000000000003,44.125,,3.1403000000000003,449,,3.1404,51,,3.14,0.0,,3.1401000000000003,0.0,,3.14,1.75,,
